Date,Day,Employee_ID,Shift,Role,Hours_worked,Hourly_rate,Job_status
2024-01-02,Thursday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-02,Thursday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-02,Thursday,A1,8pm-10pm,chef,2.0,17,full-time
2024-01-02,Thursday,B1,8pm-10pm,service,2.0,16,full-time
2024-01-02,Thursday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-02,Thursday,C2,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-03,Friday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-03,Friday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-03,Friday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-03,Friday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-03,Friday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-03,Friday,B5,10am-4.30pm,service,6.5,16,full-time
2024-01-03,Friday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-03,Friday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-03,Friday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-03,Friday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-03,Friday,A4,7pm-10pm,chef,3.0,17,full-time
2024-01-03,Friday,B1,7pm-10pm,service,3.0,16,full-time
2024-01-03,Friday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-03,Friday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-03,Friday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-03,Friday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-03,Friday,A3,8pm-10pm,chef,2.0,17,full-time
2024-01-03,Friday,A5,8pm-10pm,chef,2.0,17,full-time
2024-01-03,Friday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-03,Friday,B5,8pm-10pm,service,2.0,16,full-time
2024-01-03,Friday,C2,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-04,Monday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-04,Monday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-04,Monday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-04,Monday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-04,Monday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-04,Monday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-04,Monday,B5,10am-4.30pm,service,6.5,16,full-time
2024-01-04,Monday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-04,Monday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-04,Monday,A2,7pm-10pm,chef,3.0,17,full-time
2024-01-04,Monday,B1,7pm-10pm,service,3.0,16,full-time
2024-01-04,Monday,B3,7pm-10pm,service,3.0,16,full-time
2024-01-04,Monday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-04,Monday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-04,Monday,B5,8pm-10pm,service,2.0,16,full-time
2024-01-05,Wednesday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-05,Wednesday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-05,Wednesday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-05,Wednesday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-05,Wednesday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-05,Wednesday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-05,Wednesday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-05,Wednesday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-05,Wednesday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-05,Wednesday,A2,7pm-10pm,chef,3.0,17,full-time
2024-01-05,Wednesday,A3,7pm-10pm,chef,3.0,17,full-time
2024-01-05,Wednesday,B1,7pm-10pm,service,3.0,16,full-time
2024-01-05,Wednesday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-05,Wednesday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-05,Wednesday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-05,Wednesday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-05,Wednesday,A4,8pm-10pm,chef,2.0,17,full-time
2024-01-05,Wednesday,B2,8pm-10pm,service,2.0,16,full-time
2024-01-05,Wednesday,B5,8pm-10pm,service,2.0,16,full-time
2024-01-05,Wednesday,C1,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-06,Saturday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-06,Saturday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-06,Saturday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-06,Saturday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-06,Saturday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-06,Saturday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-06,Saturday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-06,Saturday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-06,Saturday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-06,Saturday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-06,Saturday,A5,7pm-10pm,chef,3.0,17,full-time
2024-01-06,Saturday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-06,Saturday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-06,Saturday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-06,Saturday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-06,Saturday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-06,Saturday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-06,Saturday,A2,8pm-10pm,chef,2.0,17,full-time
2024-01-06,Saturday,A4,8pm-10pm,chef,2.0,17,full-time
2024-01-06,Saturday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-06,Saturday,B5,8pm-10pm,service,2.0,16,full-time
2024-01-07,Monday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-07,Monday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-07,Monday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-07,Monday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-07,Monday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-07,Monday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-07,Monday,B4,10am-4.30pm,service,6.5,16,full-time
2024-01-07,Monday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-07,Monday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-07,Monday,A2,7pm-10pm,chef,3.0,17,full-time
2024-01-07,Monday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-07,Monday,B5,7pm-10pm,service,3.0,16,full-time
2024-01-07,Monday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-07,Monday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-07,Monday,B3,8pm-10pm,service,2.0,16,full-time
2024-01-08,Thursday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-08,Thursday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-08,Thursday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-08,Thursday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-08,Thursday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-08,Thursday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-08,Thursday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-08,Thursday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-08,Thursday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-08,Thursday,A3,7pm-10pm,chef,3.0,17,full-time
2024-01-08,Thursday,A5,7pm-10pm,chef,3.0,17,full-time
2024-01-08,Thursday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-08,Thursday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-08,Thursday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-08,Thursday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-08,Thursday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-08,Thursday,B1,8pm-10pm,service,2.0,16,full-time
2024-01-09,Sunday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-09,Sunday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-09,Sunday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-09,Sunday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-09,Sunday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-09,Sunday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-09,Sunday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-09,Sunday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-09,Sunday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-09,Sunday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-09,Sunday,A2,7pm-10pm,chef,3.0,17,full-time
2024-01-09,Sunday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-09,Sunday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-09,Sunday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-09,Sunday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-09,Sunday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-09,Sunday,A3,8pm-10pm,chef,2.0,17,full-time
2024-01-09,Sunday,B1,8pm-10pm,service,2.0,16,full-time
2024-01-09,Sunday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-09,Sunday,C2,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-10,Tuesday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-10,Tuesday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-10,Tuesday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-10,Tuesday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-10,Tuesday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-10,Tuesday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-10,Tuesday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-10,Tuesday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-10,Tuesday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-10,Tuesday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-10,Tuesday,A2,7pm-10pm,chef,3.0,17,full-time
2024-01-10,Tuesday,B1,7pm-10pm,service,3.0,16,full-time
2024-01-10,Tuesday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-10,Tuesday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-10,Tuesday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-10,Tuesday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-10,Tuesday,A4,8pm-10pm,chef,2.0,17,full-time
2024-01-10,Tuesday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-10,Tuesday,B5,8pm-10pm,service,2.0,16,full-time
2024-01-10,Tuesday,C1,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-11,Friday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-11,Friday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-11,Friday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-11,Friday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-11,Friday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-11,Friday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-11,Friday,B5,10am-4.30pm,service,6.5,16,full-time
2024-01-11,Friday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-11,Friday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-11,Friday,A5,7pm-10pm,chef,3.0,17,full-time
2024-01-11,Friday,B1,7pm-10pm,service,3.0,16,full-time
2024-01-11,Friday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-11,Friday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-11,Friday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-11,Friday,A3,8pm-10pm,chef,2.0,17,full-time
2024-01-11,Friday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-11,Friday,B5,8pm-10pm,service,2.0,16,full-time
2024-01-11,Friday,C2,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-12,Sunday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-12,Sunday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-12,Sunday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-12,Sunday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-12,Sunday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-12,Sunday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-12,Sunday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-12,Sunday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-12,Sunday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-12,Sunday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-12,Sunday,A4,7pm-10pm,chef,3.0,17,full-time
2024-01-12,Sunday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-12,Sunday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-12,Sunday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-12,Sunday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-12,Sunday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-13,Saturday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-13,Saturday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-13,Saturday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-13,Saturday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-13,Saturday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-13,Saturday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-13,Saturday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-13,Saturday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-13,Saturday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-13,Saturday,A5,7pm-10pm,chef,3.0,17,full-time
2024-01-13,Saturday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-13,Saturday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-13,Saturday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-13,Saturday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-13,Saturday,C1,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-14,Sunday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-14,Sunday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-14,Sunday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-14,Sunday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-14,Sunday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-14,Sunday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-14,Sunday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-14,Sunday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-14,Sunday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-14,Sunday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-14,Sunday,A2,7pm-10pm,chef,3.0,17,full-time
2024-01-14,Sunday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-14,Sunday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-14,Sunday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-14,Sunday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-14,Sunday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-14,Sunday,A3,8pm-10pm,chef,2.0,17,full-time
2024-01-14,Sunday,B1,8pm-10pm,service,2.0,16,full-time
2024-01-14,Sunday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-14,Sunday,C2,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-15,Monday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-15,Monday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-15,Monday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-15,Monday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-15,Monday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-15,Monday,B4,10am-4.30pm,service,6.5,16,full-time
2024-01-15,Monday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-15,Monday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-15,Monday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-15,Monday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-15,Monday,A3,7pm-10pm,chef,3.0,17,full-time
2024-01-15,Monday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-15,Monday,B4,7pm-10pm,service,3.0,16,full-time
2024-01-15,Monday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-15,Monday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-15,Monday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-15,Monday,A4,8pm-10pm,chef,2.0,17,full-time
2024-01-15,Monday,B1,8pm-10pm,service,2.0,16,full-time
2024-01-15,Monday,B5,8pm-10pm,service,2.0,16,full-time
2024-01-15,Monday,C1,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-16,Tuesday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-16,Tuesday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-16,Tuesday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-16,Tuesday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-16,Tuesday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-16,Tuesday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-16,Tuesday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-16,Tuesday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-16,Tuesday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-16,Tuesday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-16,Tuesday,A2,7pm-10pm,chef,3.0,17,full-time
2024-01-16,Tuesday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-16,Tuesday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-16,Tuesday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-16,Tuesday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-16,Tuesday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-17,Wednesday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-17,Wednesday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-17,Wednesday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-17,Wednesday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-17,Wednesday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-17,Wednesday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-17,Wednesday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-17,Wednesday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-17,Wednesday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-17,Wednesday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-17,Wednesday,A2,7pm-10pm,chef,3.0,17,full-time
2024-01-17,Wednesday,B1,7pm-10pm,service,3.0,16,full-time
2024-01-17,Wednesday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-17,Wednesday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-17,Wednesday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-17,Wednesday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-18,Thursday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-18,Thursday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-18,Thursday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-18,Thursday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-18,Thursday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-18,Thursday,C2,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-18,Thursday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-18,Thursday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-18,Thursday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-18,Thursday,A3,7pm-10pm,chef,3.0,17,full-time
2024-01-18,Thursday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-18,Thursday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-18,Thursday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-18,Thursday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-18,Thursday,A4,8pm-10pm,chef,2.0,17,full-time
2024-01-18,Thursday,B1,8pm-10pm,service,2.0,16,full-time
2024-01-18,Thursday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-18,Thursday,C2,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-19,Friday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-19,Friday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-19,Friday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-19,Friday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-19,Friday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-19,Friday,B2,10am-4.30pm,service,6.5,16,full-time
2024-01-19,Friday,B3,10am-4.30pm,service,6.5,16,full-time
2024-01-19,Friday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-19,Friday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-19,Friday,A4,7pm-10pm,chef,3.0,17,full-time
2024-01-19,Friday,A5,7pm-10pm,chef,3.0,17,full-time
2024-01-19,Friday,B1,7pm-10pm,service,3.0,16,full-time
2024-01-19,Friday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-19,Friday,B3,7pm-10pm,service,3.0,16,full-time
2024-01-19,Friday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-19,Friday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-19,Friday,A3,8pm-10pm,chef,2.0,17,full-time
2024-01-19,Friday,B4,8pm-10pm,service,2.0,16,full-time
2024-01-19,Friday,B5,8pm-10pm,service,2.0,16,full-time
2024-01-19,Friday,C2,8pm-10pm,dishwasher,2.0,16,full-time
2024-01-20,Saturday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-20,Saturday,A2,10am-4.30pm,chef,6.5,17,full-time
2024-01-20,Saturday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-20,Saturday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-20,Saturday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-20,Saturday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-20,Saturday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-20,Saturday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-20,Saturday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-20,Saturday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-20,Saturday,A3,7pm-10pm,chef,3.0,17,full-time
2024-01-20,Saturday,B4,7pm-10pm,service,3.0,16,full-time
2024-01-20,Saturday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-20,Saturday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-20,Saturday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-20,Saturday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-20,Saturday,B2,8pm-10pm,service,2.0,16,full-time
2024-01-21,Sunday,A1,10am-4.30pm,chef,6.5,17,full-time
2024-01-21,Sunday,A3,10am-4.30pm,chef,6.5,17,full-time
2024-01-21,Sunday,A4,10am-4.30pm,chef,6.5,17,full-time
2024-01-21,Sunday,A5,10am-4.30pm,chef,6.5,17,full-time
2024-01-21,Sunday,B1,10am-4.30pm,service,6.5,16,full-time
2024-01-21,Sunday,C1,10am-4.30pm,dishwasher,6.5,16,full-time
2024-01-21,Sunday,D1,10am-4.30pm,service,6.5,15,part-time
2024-01-21,Sunday,D2,10am-4.30pm,service,6.5,15,part-time
2024-01-21,Sunday,D3,10am-4.30pm,service,6.5,15,part-time
2024-01-21,Sunday,A1,7pm-10pm,chef,3.0,17,full-time
2024-01-21,Sunday,A2,7pm-10pm,chef,3.0,17,full-time
2024-01-21,Sunday,B2,7pm-10pm,service,3.0,16,full-time
2024-01-21,Sunday,C1,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-21,Sunday,C2,7pm-10pm,dishwasher,3.0,16,full-time
2024-01-21,Sunday,D1,7pm-10pm,service,3.0,15,part-time
2024-01-21,Sunday,D2,7pm-10pm,service,3.0,15,part-time
2024-01-21,Sunday,D3,7pm-10pm,service,3.0,15,part-time
2024-01-21,Sunday,A3,8pm-10pm,chef,2.0,17,full-time
